"Country","Year","pipeline_MCM","LNG_MCM","Total_MCM"
"Finland","2022-10",20,0.034627962962963,20.034627962963
"Finland","2022-11",17,0.034627962962963,17.034627962963
"Finland","2022-12",35,0.034627962962963,35.034627962963
"Finland","2023-01",21,0.0246518518518519,21.0246518518519
"Finland","2023-02",22,0.0246518518518519,22.0246518518519
"Finland","2023-03",10,0.0246518518518519,10.0246518518519
"Finland","2023-04",21,0.0246518518518519,21.0246518518519
"Finland","2023-05",0,0.0246518518518519,0.0246518518518519
"Finland","2023-06",0,0.0246518518518519,0.0246518518518519
"Finland","2023-07",19,0.0246518518518519,19.0246518518519
"Finland","2023-08",14,0.0246518518518519,14.0246518518519
"Finland","2023-09",27,0.0246518518518519,27.0246518518519
"Finland","2023-10",18,0.0246518518518519,18.0246518518519
"Finland","2023-11",10,0.0246518518518519,10.0246518518519
"Finland","2023-12",27,0.0246518518518519,27.0246518518519
"Finland","2024-01",11,0.0195411111111111,11.0195411111111
"Finland","2024-02",25,0.0195411111111111,25.0195411111111
"Finland","2024-03",21,0.0195411111111111,21.0195411111111
"Finland","2024-04",24,0.0195411111111111,24.0195411111111
"Finland","2024-05",14,0.0195411111111111,14.0195411111111
"Finland","2024-06",32,0.0195411111111111,32.0195411111111
"Finland","2024-07",26,0.0195411111111111,26.0195411111111
"Finland","2024-08",0,0.0195411111111111,0.0195411111111111
"Finland","2024-09",0,0.0195411111111111,0.0195411111111111
"Finland","2024-10",0,0.0195411111111111,0.0195411111111111
"Finland","2024-11",0,0.0195411111111111,0.0195411111111111
"Finland","2024-12",0,0.0195411111111111,0.0195411111111111
"Finland","2025-01",0,0,0
"Finland","2025-02",0,0,0
"Finland","2025-03",0,0,0
"Finland","2025-04",0,0,0
"Finland","2025-05",0,0,0
"Finland","2025-06",0,0,0
"Finland","2025-07",0,0,0
"Finland","2025-08",0,0,0
"Finland","2025-09",0,0,0
"France","2019-01",0,0.646903703703704,0.646903703703704
"France","2019-02",0,0.646903703703704,0.646903703703704
"France","2019-03",0,0.646903703703704,0.646903703703704
"France","2019-04",0,0.646903703703704,0.646903703703704
"France","2019-05",0,0.646903703703704,0.646903703703704
"France","2019-06",0,0.646903703703704,0.646903703703704
"France","2019-07",0,0.646903703703704,0.646903703703704
"France","2019-08",0,0.646903703703704,0.646903703703704
"France","2019-09",0,0.646903703703704,0.646903703703704
"France","2019-10",0,0.646903703703704,0.646903703703704
"France","2019-11",0,0.646903703703704,0.646903703703704
"France","2019-12",0,0.646903703703704,0.646903703703704
"France","2021-01",0,0.881542592592592,0.881542592592592
"France","2021-02",0,0.881542592592592,0.881542592592592
"France","2021-03",0,0.881542592592592,0.881542592592592
"France","2021-04",0,0.881542592592592,0.881542592592592
"France","2021-05",0,0.881542592592592,0.881542592592592
"France","2021-06",0,0.881542592592592,0.881542592592592
"France","2021-07",0,0.881542592592592,0.881542592592592
"France","2021-08",0,0.881542592592592,0.881542592592592
"France","2021-09",0,0.881542592592592,0.881542592592592
"France","2021-10",0,0.881542592592592,0.881542592592592
"France","2021-11",0,0.881542592592592,0.881542592592592
"France","2021-12",0,0.881542592592592,0.881542592592592
"France","2022-01",0,0.853777777777778,0.853777777777778
"France","2022-02",0,0.853777777777778,0.853777777777778
"France","2022-03",0,0.853777777777778,0.853777777777778
"France","2022-04",0,0.853777777777778,0.853777777777778
"France","2022-05",0,0.853777777777778,0.853777777777778
"France","2022-06",0,0.853777777777778,0.853777777777778
"France","2022-07",0,0.853777777777778,0.853777777777778
"France","2022-08",0,0.853777777777778,0.853777777777778
"France","2022-09",0,0.853777777777778,0.853777777777778
"France","2022-10",0,0.853777777777778,0.853777777777778
"France","2022-11",0,0.853777777777778,0.853777777777778
"France","2022-12",0,0.853777777777778,0.853777777777778
"France","2023-01",0,0.647787037037037,0.647787037037037
"France","2023-02",0,0.647787037037037,0.647787037037037
"France","2023-03",0,0.647787037037037,0.647787037037037
"France","2023-04",0,0.647787037037037,0.647787037037037
"France","2023-05",0,0.647787037037037,0.647787037037037
"France","2023-06",0,0.647787037037037,0.647787037037037
"France","2023-07",0,0.647787037037037,0.647787037037037
"France","2023-08",0,0.647787037037037,0.647787037037037
"France","2023-09",0,0.647787037037037,0.647787037037037
"France","2023-10",0,0.647787037037037,0.647787037037037
"France","2023-11",0,0.647787037037037,0.647787037037037
"France","2023-12",0,0.647787037037037,0.647787037037037
"France","2024-01",0,1.17440740740741,1.17440740740741
"France","2024-02",0,1.17440740740741,1.17440740740741
"France","2024-03",0,1.17440740740741,1.17440740740741
"France","2024-04",0,1.17440740740741,1.17440740740741
"France","2024-05",0,1.17440740740741,1.17440740740741
"France","2024-06",0,1.17440740740741,1.17440740740741
"France","2024-07",0,1.17440740740741,1.17440740740741
"France","2024-08",0,1.17440740740741,1.17440740740741
"France","2024-09",0,1.17440740740741,1.17440740740741
"France","2024-10",0,1.17440740740741,1.17440740740741
"France","2024-11",0,1.17440740740741,1.17440740740741
"France","2024-12",0,1.17440740740741,1.17440740740741
"France","2025-01",0,0,0
"France","2025-02",0,0,0
"France","2025-03",0,0,0
"France","2025-04",0,0,0
"France","2025-05",0,0,0
"France","2025-06",0,0,0
"France","2025-07",0,0,0
"France","2025-08",0,0,0
"France","2025-09",0,0,0
"Netherlands","2019-01",189.722,0,189.722
"Netherlands","2019-02",0,0,0
"Netherlands","2019-03",261.503,0,261.503
"Netherlands","2019-04",3.854,0,3.854
"Netherlands","2019-05",273.992,0,273.992
"Netherlands","2019-06",333.972,0,333.972
"Netherlands","2019-07",333.692,0,333.692
"Netherlands","2019-08",375.975,0,375.975
"Netherlands","2019-09",369.844,0,369.844
"Netherlands","2019-10",96.965,0,96.965
"Netherlands","2019-11",271.874,0,271.874
"Netherlands","2019-12",467.429,0,467.429
"Netherlands","2020-01",429.228,0,429.228
"Netherlands","2020-02",317.488,0,317.488
"Netherlands","2020-03",616.588,0,616.588
"Netherlands","2020-04",194.629,0,194.629
"Netherlands","2020-05",460.715,0,460.715
"Netherlands","2020-06",246.324,0,246.324
"Netherlands","2020-07",410.231,0,410.231
"Netherlands","2020-08",144.907,0,144.907
"Netherlands","2020-09",147.021,0,147.021
"Netherlands","2020-10",80.624,0,80.624
"Netherlands","2020-11",247.928,0,247.928
"Netherlands","2020-12",361.485,0,361.485
"Netherlands","2021-01",245.969,0.393716666666667,246.362716666667
"Netherlands","2021-02",150.17,0.393716666666667,150.563716666667
"Netherlands","2021-03",225.622,0.393716666666667,226.015716666667
"Netherlands","2021-04",444.302,0.393716666666667,444.695716666667
"Netherlands","2021-05",246.572,0.393716666666667,246.965716666667
"Netherlands","2021-06",364.11,0.393716666666667,364.503716666667
"Netherlands","2021-07",95.157,0.393716666666667,95.5507166666667
"Netherlands","2021-08",121.325,0.393716666666667,121.718716666667
"Netherlands","2021-09",236.251,0.393716666666667,236.644716666667
"Netherlands","2021-10",374.688,0.393716666666667,375.081716666667
"Netherlands","2021-11",349.987,0.393716666666667,350.380716666667
"Netherlands","2021-12",396.131,0.393716666666667,396.524716666667
"Netherlands","2022-01",321.91,0.539983333333333,322.449983333333
"Netherlands","2022-02",376.585,0.539983333333333,377.124983333333
"Netherlands","2022-03",481.966,0.539983333333333,482.505983333333
"Netherlands","2022-04",352.404,0.539983333333333,352.943983333333
"Netherlands","2022-05",252.732,0.539983333333333,253.271983333333
"Netherlands","2022-06",116.712,0.539983333333333,117.251983333333
"Netherlands","2022-07",235.18,0.539983333333333,235.719983333333
"Netherlands","2022-08",222.562,0.539983333333333,223.101983333333
"Netherlands","2022-09",118.483,0.539983333333333,119.022983333333
"Netherlands","2022-10",130.047,0.539983333333333,130.586983333333
"Netherlands","2022-11",114.3,0.539983333333333,114.839983333333
"Netherlands","2022-12",116.905,0.539983333333333,117.444983333333
"Netherlands","2023-01",128.267,0.208288888888889,128.475288888889
"Netherlands","2023-02",110.128,0.208288888888889,110.336288888889
"Netherlands","2023-03",121.968,0.208288888888889,122.176288888889
"Netherlands","2023-04",127.063,0.208288888888889,127.271288888889
"Netherlands","2023-05",130.226,0.208288888888889,130.434288888889
"Netherlands","2023-06",0,0.208288888888889,0.208288888888889
"Netherlands","2023-07",0,0.208288888888889,0.208288888888889
"Netherlands","2023-08",112.924,0.208288888888889,113.132288888889
"Netherlands","2023-09",118.38,0.208288888888889,118.588288888889
"Netherlands","2023-10",118.532,0.208288888888889,118.740288888889
"Netherlands","2023-11",121.923,0.208288888888889,122.131288888889
"Netherlands","2023-12",118.257,0.208288888888889,118.465288888889
"Netherlands","2024-01",110.422,0.230655555555556,110.652655555556
"Netherlands","2024-02",130.761,0.230655555555556,130.991655555556
"Netherlands","2024-03",113.689,0.230655555555556,113.919655555556
"Netherlands","2024-04",0,0.230655555555556,0.230655555555556
"Netherlands","2024-05",120.863,0.230655555555556,121.093655555556
"Netherlands","2024-06",119.904,0.230655555555556,120.134655555556
"Netherlands","2024-07",240.31,0.230655555555556,240.540655555556
"Netherlands","2024-08",209.143,0.230655555555556,209.373655555556
"Netherlands","2024-09",264.176,0.230655555555556,264.406655555556
"Netherlands","2024-10",244.848,0.230655555555556,245.078655555556
"Netherlands","2024-11",233.656,0.230655555555556,233.886655555556
"Netherlands","2024-12",278.766,0.230655555555556,278.996655555556
"Netherlands","2025-01",248.058,0,248.058
"Netherlands","2025-02",254.219,0,254.219
"Netherlands","2025-03",269.346,0,269.346
"Netherlands","2025-04",120.096,0,120.096
"Netherlands","2025-05",242.936,0,242.936
"Netherlands","2025-06",249.695,0,249.695
"Netherlands","2025-07",116.047,0,116.047
"Netherlands","2025-08",272.516,0,272.516
"Netherlands","2025-09",293.439,0,293.439
"Poland","2019-01",3,0,3
"Poland","2019-02",2,0,2
"Poland","2019-03",3,0,3
"Poland","2019-04",3,0,3
"Poland","2019-05",3,0,3
"Poland","2019-06",3,0,3
"Poland","2019-07",2,0,2
"Poland","2019-08",2,0,2
"Poland","2019-09",3,0,3
"Poland","2019-10",4,0,4
"Poland","2019-11",6,0,6
"Poland","2019-12",5,0,5
"Poland","2020-01",4.233,0,4.233
"Poland","2020-02",4.757,0,4.757
"Poland","2020-03",4.808,0,4.808
"Poland","2020-04",3.575,0,3.575
"Poland","2020-05",3.783,0,3.783
"Poland","2020-06",4.307,0,4.307
"Poland","2020-07",4.582,0,4.582
"Poland","2020-08",5.492,0,5.492
"Poland","2020-09",5.874,0,5.874
"Poland","2020-10",4.944,0,4.944
"Poland","2020-11",7.768,0,7.768
"Poland","2020-12",6.289,0,6.289
"Poland","2021-01",5.312,0,5.312
"Poland","2021-02",6.251,0,6.251
"Poland","2021-03",7.32,0,7.32
"Poland","2021-04",6.075,0,6.075
"Poland","2021-05",5.619,0,5.619
"Poland","2021-06",3.068,0,3.068
"Poland","2021-07",2.586,0,2.586
"Poland","2021-08",6.467,0,6.467
"Poland","2021-09",7.336,0,7.336
"Poland","2021-10",7.081,0,7.081
"Poland","2021-11",9.247,0,9.247
"Poland","2021-12",9.012,0,9.012
"Poland","2022-01",4.349,0,4.349
"Poland","2022-02",5.621,0,5.621
"Poland","2022-03",8.558,0,8.558
"Poland","2022-04",5.852,0,5.852
"Poland","2022-05",5.357,0,5.357
"Poland","2022-06",5.627,0,5.627
"Poland","2022-07",6.324,0,6.324
