Dutch TTF Natural Gas Futures Historical Data;;;;;;
Date;Price;Open;High;Low;Vol.;Change %
05/01/2022;94.005;97.050;106.700;84.840;0.12K;-5.48%
04/01/2022;99.450;114.750;114.750;92.835;0.04K;-21.01%
03/01/2022;125.905;103.665;227.200;97.600;0.97K;27.70%
02/01/2022;98.595;78.300;135.000;68.515;3.24K;16.45%
01/01/2022;84.670;80.435;97.020;71.000;1.84K;20.36%
12/01/2021;70.345;92.600;176.655;67.365;6.85K;-23.96%
11/01/2021;92.515;63.590;99.850;62.840;1.08K;42.63%
10/01/2021;64.865;94.665;132.930;70.000;2.71K;-33.66%
09/01/2021;97.775;52.250;96.300;49.600;16.82K;94.23%
08/01/2021;50.340;42.100;50.470;40.100;14.86K;23.52%
07/01/2021;40.755;35.500;40.880;31.470;14.68K;17.72%
06/01/2021;34.620;25.180;34.925;25.180;16.21K;38.87%
05/01/2021;24.930;23.815;26.915;22.570;16.71K;7.06%
04/01/2021;23.285;19.000;23.320;18.900;17.84K;22.58%
03/01/2021;18.995;16.000;19.170;15.500;20.88K;21.03%
02/01/2021;15.695;19.050;20.375;15.550;13.96K;-20.81%
01/01/2021;19.820;19.450;26.085;17.375;10.62K;3.63%
12/01/2020;19.125;15.475;19.275;14.000;4.83K;26.32%
11/01/2020;15.140;13.515;15.200;12.600;7.16K;7.68%
10/01/2020;14.060;13.350;15.650;12.815;7.63K;5.83%
09/01/2020;13.285;11.200;13.310;10.370;3.90K;18.19%
08/01/2020;11.240;6.330;11.240;6.330;4.95K;86.56%
07/01/2020;6.025;5.950;6.315;4.710;7.83K;-2.27%
06/01/2020;6.165;4.100;6.455;3.950;9.53K;40.59%
05/01/2020;4.385;6.200;6.200;3.500;6.95K;-29.50%
04/01/2020;6.220;6.725;7.525;5.800;5.42K;-9.86%
03/01/2020;6.900;9.000;9.635;6.895;12.72K;-22.25%
02/01/2020;8.875;9.600;9.600;8.500;3.43K;-9.02%
01/01/2020;9.755;12.435;12.750;9.930;6.67K;-19.05%
12/01/2019;12.050;15.955;16.000;12.050;5.33K;-26.21%
11/01/2019;16.330;16.350;16.905;15.150;8.73K;1.21%
10/01/2019;16.135;16.250;16.725;13.625;6.31K;-1.56%
09/01/2019;16.390;11.950;16.690;11.675;2.93K;28.10%
08/01/2019;12.795;11.675;12.795;10.150;5.74K;16.32%
07/01/2019;11.000;10.570;13.725;9.725;7.29K;8.75%
06/01/2019;10.115;11.100;11.910;9.375;0.43K;-9.73%
05/01/2019;11.205;14.100;14.565;11.205;0.12K;-22.13%
04/01/2019;14.390;13.845;16.950;13.455;0.38K;1.23%
03/01/2019;14.215;17.320;17.500;14.175;4.39K;-20.21%
02/01/2019;17.815;19.300;19.355;17.000;0.91K;-10.25%
01/01/2019;19.850;22.280;23.135;19.665;0.74K;-9.69%
