DATAFLOW,LAST UPDATE,freq,siec,partner,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2023-06,713.662,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2023-07,1297.778,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2023-08,1446.495,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2023-09,1372.083,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2023-10,1364.305,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2023-11,1218.562,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2023-12,1271.145,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2024-01,1169.520,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2024-02,1172.888,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2024-03,1362.521,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2024-04,1163.332,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2024-05,1368.996,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2024-06,1106.651,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2024-07,1429.729,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2024-08,1394.865,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2024-09,1351.541,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2024-10,1406.062,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2024-11,1405.618,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2024-12,1449.992,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2025-01,1478.314,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2025-02,1469.831,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2025-03,1333.114,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2025-04,1183.720,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2025-05,1340.205,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2025-06,1055.143,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2025-07,1495.229,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Bulgaria,2025-08,1469.310,,
ESTAT:NRG_TI_GASM(1.0),12/11/25 11:00:00,Monthly,Natural gas,Russia,Million cubic metres,Germany,2019-01,5127.000,,
